Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Alan ,Forrest Gump - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:35:12,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":806,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":29664,""mediaOffsetMs"":28772},{""eventType"":""stopped"",""sessionOffsetMs"":30503,""mediaOffsetMs"":28774}]"
Alan ,Don't Look Up - Clip 4,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:35:07,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":418,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3830,""mediaOffsetMs"":3315},{""eventType"":""stopped"",""sessionOffsetMs"":4287,""mediaOffsetMs"":3317}]"
Alan ,Forrest Gump - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:34:36,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":420,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":30516,""mediaOffsetMs"":30003},{""eventType"":""stopped"",""sessionOffsetMs"":30966,""mediaOffsetMs"":30003}]"
Alan ,The Adam Project - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:34:10,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":446,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":25506,""mediaOffsetMs"":25008},{""eventType"":""stopped"",""sessionOffsetMs"":26018,""mediaOffsetMs"":24999}]"
Alan ,Persuasion - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:34:08,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":522,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":1784,""mediaOffsetMs"":1144},{""eventType"":""stopped"",""sessionOffsetMs"":2183,""mediaOffsetMs"":1153}]"
Alan ,After Life: Season 1 - Clip 4,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:34:07,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":399,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":1244,""mediaOffsetMs"":763},{""eventType"":""stopped"",""sessionOffsetMs"":1662,""mediaOffsetMs"":765}]"
Alan ,Spenser Confidential - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:33:43,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":392,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":23453,""mediaOffsetMs"":23009},{""eventType"":""stopped"",""sessionOffsetMs"":23927,""mediaOffsetMs"":23009}]"
Alan ,The Nice Guys - Clip 4,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:33:39,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":38},{""eventType"":""playing"",""sessionOffsetMs"":356,""mediaOffsetMs"":38},{""eventType"":""paused"",""sessionOffsetMs"":2805,""mediaOffsetMs"":2350},{""eventType"":""stopped"",""sessionOffsetMs"":3215,""mediaOffsetMs"":2359}]"
Alan ,The Irishman - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:32:47,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":431,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":52531,""mediaOffsetMs"":52004},{""eventType"":""stopped"",""sessionOffsetMs"":53024,""mediaOffsetMs"":52004}]"
Alan ,Firefly Lane: Season 1 - Clip 2,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:32:44,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":420,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":1562,""mediaOffsetMs"":1051},{""eventType"":""stopped"",""sessionOffsetMs"":2033,""mediaOffsetMs"":1053}]"
Alan ,The Do-Over - Clip 3,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:32:20,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":395,""mediaOffsetMs"":17},{""eventType"":""paused"",""sessionOffsetMs"":23513,""mediaOffsetMs"":23005},{""eventType"":""stopped"",""sessionOffsetMs"":24060,""mediaOffsetMs"":23005}]"
Alan ,Set It Up - Clip 3,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:31:35,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":554,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":7763,""mediaOffsetMs"":8008},{""eventType"":""playing"",""sessionOffsetMs"":41938,""mediaOffsetMs"":42042},{""eventType"":""paused"",""sessionOffsetMs"":44652,""mediaOffsetMs"":44003},{""eventType"":""stopped"",""sessionOffsetMs"":45196,""mediaOffsetMs"":44003}]"
Alan ,Don't Look Up - Clip 6,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:30:45,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":506,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":3698,""mediaOffsetMs"":4000},{""eventType"":""playing"",""sessionOffsetMs"":7816,""mediaOffsetMs"":8000},{""eventType"":""playing"",""sessionOffsetMs"":15702,""mediaOffsetMs"":16000},{""eventType"":""playing"",""sessionOffsetMs"":27818,""mediaOffsetMs"":28000},{""eventType"":""paused"",""sessionOffsetMs"":49578,""mediaOffsetMs"":49005},{""eventType"":""stopped"",""sessionOffsetMs"":50128,""mediaOffsetMs"":49006}]"
Alan ,Midnight in Paris - Clip 1,Android DefaultWidevineL3Phone Android Phone,2022-12-05 02:30:35,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":1049,""mediaOffsetMs"":17},{""eventType"":""playing"",""sessionOffsetMs"":5898,""mediaOffsetMs"":6000},{""eventType"":""paused"",""sessionOffsetMs"":7388,""mediaOffsetMs"":6324},{""eventType"":""playing"",""sessionOffsetMs"":8517,""mediaOffsetMs"":6333},{""eventType"":""playing"",""sessionOffsetMs"":9005,""mediaOffsetMs"":8000},{""eventType"":""paused"",""sessionOffsetMs"":10101,""mediaOffsetMs"":7916},{""eventType"":""stopped"",""sessionOffsetMs"":10679,""mediaOffsetMs"":7917}]"
Alan ,All Quiet on the Western Front,Panasonic 2016 sLD8a TV Smart TV,2022-11-26 02:11:09,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":681000},{""eventType"":""playing"",""sessionOffsetMs"":14210,""mediaOffsetMs"":681000},{""eventType"":""playing"",""sessionOffsetMs"":35921,""mediaOffsetMs"":694000},{""eventType"":""playing"",""sessionOffsetMs"":36043,""mediaOffsetMs"":696000},{""eventType"":""stopped"",""sessionOffsetMs"":2664210,""mediaOffsetMs"":3324167}]"
Alan ,All Quiet on the Western Front,Panasonic 2016 sLD8a TV Smart TV,2022-11-25 00:36:09,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":16941,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":116932,""mediaOffsetMs"":100000},{""eventType"":""playing"",""sessionOffsetMs"":139699,""mediaOffsetMs"":122000},{""eventType"":""playing"",""sessionOffsetMs"":146988,""mediaOffsetMs"":130000},{""eventType"":""playing"",""sessionOffsetMs"":151994,""mediaOffsetMs"":134000},{""eventType"":""paused"",""sessionOffsetMs"":695428,""mediaOffsetMs"":681131},{""eventType"":""playing"",""sessionOffsetMs"":695429,""mediaOffsetMs"":681131},{""eventType"":""stopped"",""sessionOffsetMs"":697941,""mediaOffsetMs"":683644}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Mr. Santiago""",DefaultWidevineAndroidPhone,2022-12-21 16:53:43,BR,"[{""eventType"":""start"",""sessionOffsetMs"":1,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":361,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":68406,""mediaOffsetMs"":67882},{""eventType"":""stopped"",""sessionOffsetMs"":968720,""mediaOffsetMs"":67895}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Monster in the Closet""",DefaultWidevineAndroidPhone,2022-12-21 16:32:34,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":294,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":87462,""mediaOffsetMs"":87168},{""eventType"":""playing"",""sessionOffsetMs"":105893,""mediaOffsetMs"":105599},{""eventType"":""playing"",""sessionOffsetMs"":122790,""mediaOffsetMs"":122496},{""eventType"":""stopped"",""sessionOffsetMs"":1268032,""mediaOffsetMs"":1267571}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Halloween IV""",DefaultWidevineAndroidPhone,2022-12-21 16:11:44,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":400,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":106213,""mediaOffsetMs"":105813},{""eventType"":""playing"",""sessionOffsetMs"":123962,""mediaOffsetMs"":123562},{""eventType"":""playing"",""sessionOffsetMs"":129082,""mediaOffsetMs"":128682},{""eventType"":""stopped"",""sessionOffsetMs"":1250673,""mediaOffsetMs"":1250099}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""The Night Shift""",DefaultWidevineAndroidPhone,2022-12-21 15:52:23,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":118869},{""eventType"":""playing"",""sessionOffsetMs"":815,""mediaOffsetMs"":118869},{""eventType"":""paused"",""sessionOffsetMs"":2225,""mediaOffsetMs"":120159},{""eventType"":""reposition"",""sessionOffsetMs"":2225,""mediaOffsetMs"":130159},{""eventType"":""playing"",""sessionOffsetMs"":2493,""mediaOffsetMs"":130005},{""eventType"":""playing"",""sessionOffsetMs"":25063,""mediaOffsetMs"":152575},{""eventType"":""playing"",""sessionOffsetMs"":131133,""mediaOffsetMs"":258645},{""eventType"":""stopped"",""sessionOffsetMs"":1161749,""mediaOffsetMs"":1289072}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""The Night Shift""",DefaultWidevineAndroidPhone,2022-12-21 06:37:14,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":404,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":119995,""mediaOffsetMs"":119410},{""eventType"":""stopped"",""sessionOffsetMs"":1389921,""mediaOffsetMs"":119415}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Coral Palms: Part 3""",DefaultWidevineAndroidPhone,2022-12-21 06:16:18,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":327,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":54513,""mediaOffsetMs"":54186},{""eventType"":""playing"",""sessionOffsetMs"":70641,""mediaOffsetMs"":70314},{""eventType"":""playing"",""sessionOffsetMs"":77937,""mediaOffsetMs"":77610},{""eventType"":""playing"",""sessionOffsetMs"":95430,""mediaOffsetMs"":95103},{""eventType"":""playing"",""sessionOffsetMs"":96711,""mediaOffsetMs"":96384},{""eventType"":""playing"",""sessionOffsetMs"":113094,""mediaOffsetMs"":112767},{""eventType"":""playing"",""sessionOffsetMs"":131910,""mediaOffsetMs"":131583},{""eventType"":""playing"",""sessionOffsetMs"":152006,""mediaOffsetMs"":151679},{""eventType"":""stopped"",""sessionOffsetMs"":1255766,""mediaOffsetMs"":1255219}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Coral Palms: Part 2""",DefaultWidevineAndroidPhone,2022-12-21 05:54:42,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":624,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":75504,""mediaOffsetMs"":74880},{""eventType"":""playing"",""sessionOffsetMs"":92997,""mediaOffsetMs"":92373},{""eventType"":""playing"",""sessionOffsetMs"":98245,""mediaOffsetMs"":97621},{""eventType"":""playing"",""sessionOffsetMs"":115525,""mediaOffsetMs"":114901},{""eventType"":""playing"",""sessionOffsetMs"":136901,""mediaOffsetMs"":136277},{""eventType"":""playing"",""sessionOffsetMs"":153541,""mediaOffsetMs"":152917},{""eventType"":""stopped"",""sessionOffsetMs"":1296803,""mediaOffsetMs"":1296096}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Coral Palms: Part 1""",DefaultWidevineAndroidPhone,2022-12-21 05:35:55,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":170819},{""eventType"":""playing"",""sessionOffsetMs"":635,""mediaOffsetMs"":170819},{""eventType"":""playing"",""sessionOffsetMs"":21048,""mediaOffsetMs"":191232},{""eventType"":""playing"",""sessionOffsetMs"":71693,""mediaOffsetMs"":241877},{""eventType"":""playing"",""sessionOffsetMs"":142519,""mediaOffsetMs"":312703},{""eventType"":""stopped"",""sessionOffsetMs"":1126294,""mediaOffsetMs"":1296390}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Coral Palms: Part 1""",DefaultWidevineAndroidPhone,2022-12-21 05:35:23,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":134272},{""eventType"":""playing"",""sessionOffsetMs"":654,""mediaOffsetMs"":134272},{""eventType"":""paused"",""sessionOffsetMs"":2313,""mediaOffsetMs"":135764},{""eventType"":""reposition"",""sessionOffsetMs"":2313,""mediaOffsetMs"":148858},{""eventType"":""playing"",""sessionOffsetMs"":2452,""mediaOffsetMs"":148864},{""eventType"":""playing"",""sessionOffsetMs"":21353,""mediaOffsetMs"":167765},{""eventType"":""paused"",""sessionOffsetMs"":28596,""mediaOffsetMs"":174833},{""eventType"":""stopped"",""sessionOffsetMs"":28850,""mediaOffsetMs"":174833}]"
Ale ,Burlesque,Netflix Windows App - Cadmium Windows Mobile,2022-12-21 04:57:22,BR,"[{""eventType"":""start"",""sessionOffsetMs"":207,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":7449,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":15702,""mediaOffsetMs"":8000},{""eventType"":""playing"",""sessionOffsetMs"":19582,""mediaOffsetMs"":12000},{""eventType"":""playing"",""sessionOffsetMs"":39800,""mediaOffsetMs"":32000},{""eventType"":""playing"",""sessionOffsetMs"":43717,""mediaOffsetMs"":36000},{""eventType"":""stopped"",""sessionOffsetMs"":794449,""mediaOffsetMs"":786732}]"
Ale ,Trailer: The Volcano: Rescue from Whakaari,Netflix Windows App - Cadmium Windows Mobile,2022-12-21 04:56:39,BR,"[{""eventType"":""start"",""sessionOffsetMs"":667,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":12996,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14814,""mediaOffsetMs"":2000},{""eventType"":""stopped"",""sessionOffsetMs"":46172,""mediaOffsetMs"":2000}]"
Ale ,The Prince of Egypt,Netflix Windows App - Cadmium Windows Mobile,2022-12-21 03:10:18,BR,"[{""eventType"":""start"",""sessionOffsetMs"":201,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":7173,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":268947,""mediaOffsetMs"":262000},{""eventType"":""playing"",""sessionOffsetMs"":1120049,""mediaOffsetMs"":262000},{""eventType"":""stopped"",""sessionOffsetMs"":6372227,""mediaOffsetMs"":5513000}]"
Ale ,Trailer: The Volcano: Rescue from Whakaari,Netflix Windows App - Cadmium Windows Mobile,2022-12-21 03:08:33,BR,"[{""eventType"":""start"",""sessionOffsetMs"":232,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":10555,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":50911,""mediaOffsetMs"":40000},{""eventType"":""playing"",""sessionOffsetMs"":58910,""mediaOffsetMs"":48000},{""eventType"":""playing"",""sessionOffsetMs"":67000,""mediaOffsetMs"":56000},{""eventType"":""paused"",""sessionOffsetMs"":68819,""mediaOffsetMs"":58000},{""eventType"":""stopped"",""sessionOffsetMs"":104939,""mediaOffsetMs"":58000}]"
Ale ,Love and Monsters,Netflix Windows App - Cadmium Windows Mobile,2022-12-21 01:09:46,BR,"[{""eventType"":""start"",""sessionOffsetMs"":544,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":12098,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":20392,""mediaOffsetMs"":8000},{""eventType"":""playing"",""sessionOffsetMs"":24250,""mediaOffsetMs"":12000},{""eventType"":""playing"",""sessionOffsetMs"":44299,""mediaOffsetMs"":32000},{""eventType"":""playing"",""sessionOffsetMs"":48417,""mediaOffsetMs"":36000},{""eventType"":""playing"",""sessionOffsetMs"":52518,""mediaOffsetMs"":40000},{""eventType"":""playing"",""sessionOffsetMs"":56363,""mediaOffsetMs"":44000},{""eventType"":""playing"",""sessionOffsetMs"":60459,""mediaOffsetMs"":48000},{""eventType"":""paused"",""sessionOffsetMs"":1430488,""mediaOffsetMs"":1418000},{""eventType"":""playing"",""sessionOffsetMs"":2068662,""mediaOffsetMs"":1418000},{""eventType"":""paused"",""sessionOffsetMs"":6285321,""mediaOffsetMs"":5634000},{""eventType"":""playing"",""sessionOffsetMs"":6548357,""mediaOffsetMs"":5635000},{""eventType"":""stopped"",""sessionOffsetMs"":7119722,""mediaOffsetMs"":6205000}]"
Ale ,Trailer: The Volcano: Rescue from Whakaari,Netflix Windows App - Cadmium Windows Mobile,2022-12-21 01:07:57,BR,"[{""eventType"":""start"",""sessionOffsetMs"":524,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":9683,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":16861,""mediaOffsetMs"":7000},{""eventType"":""stopped"",""sessionOffsetMs"":88144,""mediaOffsetMs"":7000}]"
Ale ,Main Character Intro Clip: Royalteen,Netflix Windows App - Cadmium Windows Mobile,2022-12-20 23:20:08,BR,"[{""eventType"":""start"",""sessionOffsetMs"":-1,""mediaOffsetMs"":0}]"
Ale ,"Brooklyn Nine-Nine: Season 4: ""Coral Palms: Part 1""",DefaultWidevineAndroidPhone,2022-12-20 17:14:26,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":116992},{""eventType"":""playing"",""sessionOffsetMs"":747,""mediaOffsetMs"":116992},{""eventType"":""paused"",""sessionOffsetMs"":2187,""mediaOffsetMs"":118126},{""eventType"":""reposition"",""sessionOffsetMs"":2187,""mediaOffsetMs"":128126},{""eventType"":""playing"",""sessionOffsetMs"":2355,""mediaOffsetMs"":124290},{""eventType"":""paused"",""sessionOffsetMs"":3727,""mediaOffsetMs"":125501},{""eventType"":""reposition"",""sessionOffsetMs"":3727,""mediaOffsetMs"":135501},{""eventType"":""playing"",""sessionOffsetMs"":3959,""mediaOffsetMs"":134272}]"
