Profile Name,Icons
Alan ,"[""AVATAR|3e7da480-408d-11eb-ab22-0e5ad982b99f|en|BR|81002370"", ""AVATAR|a2785f00-22a4-11ea-a25f-0a79fb844809|en|BR|80189685"", ""AVATAR|c38c8d70-c9b6-11e9-9029-0e69659a95a4|en|BR|80148535"", ""icon13""]"
Casa,"[""AVATAR|143687f1-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069"", ""icon14"", ""icon22""]"
Ale ,"[""AVATAR|dd513c20-1b9f-11ea-9ff7-0ea8ab30c000|en|BR|80095697"", ""AVATAR|22660180-fdc0-11ea-9aab-0ed55b542551|en|BR|80214236"", ""AVATAR|143639d1-36c7-11e8-b308-0e1f42e0af2a|en|US|80148069""]"
Ju,"[""AVATAR|b18a23e0-55b6-11e9-9175-0e4c0307b682|en|BR|80049832"", ""icon20"", ""icon26""]"
Adilan,"[""AVATAR|a2785f00-22a4-11ea-a25f-0a79fb844809|en|BR|80189685"", ""AVATAR|43f3bf10-22a4-11ea-b844-129c8429bf40|en|BR|80189685"", ""AVATAR|37320f70-22a4-11ea-b451-0a9e15a005bb|en|BR|80189685"", ""AVATAR|934a6130-65c8-11e8-aa93-1272ed53ae32|en|BR|80115432"", ""icon25""]"
