Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Adilan,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-F042D67C9B3F2523F518BE58105572A05F24E61B086BE5EDC354538DE73539EC,DefaultWidevineAndroidPhone,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,2022-10-05T02:37:29.772Z,2022-10-05T02:43:50.307Z,,,,,
Alan ,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,DefaultWidevineAndroidPhone,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,
Ale ,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-26T02:42:22.999Z,2022-09-29T10:59:33.790Z,2022-08-26T02:42:22.999Z,2022-09-29T10:59:33.790Z,
Alan ,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Casa,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ale ,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Ju,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Adilan,NFCDCH-AP-JGMYVZER90MLVVH1HEV6HGNVJG5H6L,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Casa,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,,,,,
Ju,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,,,,,
Adilan,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,,,,,
Casa,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,,,,,
Ju,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,,,,,
Adilan,NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,Netflix Opera Other,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,2022-08-24T12:06:06.747Z,2022-09-26T18:05:19.164Z,,,,,
Ale ,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,DefaultWidevineAndroidPhone,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,,,,,
Ju,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,DefaultWidevineAndroidPhone,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,,,,,
Adilan,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,DefaultWidevineAndroidPhone,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,,,,,
Casa,NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,DefaultWidevineAndroidPhone,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,2021-02-18T00:34:16.376Z,2022-09-30T05:09:58.257Z,,,,,
Casa,NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,Netflix Windows App - Cadmium Windows Mobile,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,,,,,
Ju,NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,Netflix Windows App - Cadmium Windows Mobile,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,,,,,
Adilan,NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,Netflix Windows App - Cadmium Windows Mobile,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,,,,,
Alan ,PHTV14OPM1-31-03-15-01-0000000000000188278,Philips 2014 MT5580 based TVs Smart TV,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,,,,,
Ale ,PHTV14OPM1-31-03-15-01-0000000000000188278,Philips 2014 MT5580 based TVs Smart TV,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,,,,,
Alan ,NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,DefaultWidevineAndroidPhone,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-09-29T10:59:33.790Z,2022-08-15T16:58:31.876Z,2022-08-15T16:59:26.812Z,2022-08-15T16:58:31.876Z,2022-08-15T16:59:26.812Z,
Alan ,NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,Netflix Windows App - Cadmium Windows Mobile,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-06-05T01:08:48.059Z,2022-12-21T04:57:22.988Z,2022-06-05T01:08:48.059Z,2022-08-07T07:21:36.464Z,2022-06-05T01:08:48.059Z,2022-08-07T07:21:36.464Z,
Alan ,GOOGCAP0010000000000000017514816,Google Chromecast V5 Streaming Stick,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,,,,,
Ju,GOOGCAP0010000000000000017514816,Google Chromecast V5 Streaming Stick,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,2022-05-29T01:46:08.137Z,2022-07-11T00:26:29.784Z,,,,,
Casa,NFCDOP-01-JCD9E163EGH2DXEV9A7YPQPPAKE015,Netflix Opera Other,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,,,,,
Ju,NFCDOP-01-JCD9E163EGH2DXEV9A7YPQPPAKE015,Netflix Opera Other,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,,,,,
Adilan,NFCDOP-01-JCD9E163EGH2DXEV9A7YPQPPAKE015,Netflix Opera Other,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,2022-06-24T21:00:14.268Z,2022-08-06T20:47:32.103Z,,,,,
Adilan,PHTV14OPM1-31-03-15-01-0000000000000188278,Philips 2014 MT5580 based TVs Smart TV,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2020-12-23T14:38:23.659Z,2022-02-12T16:11:53.681Z,2020-12-23T14:38:23.659Z,2022-02-12T16:11:53.681Z,
Casa,PHTV14OPM1-31-03-15-01-0000000000000188278,Philips 2014 MT5580 based TVs Smart TV,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2019-12-18T14:29:34.028Z,2022-12-20T19:31:17.548Z,2021-07-15T05:02:58.395Z,2021-07-15T05:46:43.047Z,2021-07-15T05:02:58.395Z,2021-07-15T05:46:43.047Z,
Adilan,NFANDROID1-PRV-P-L3-SAMSUSM-A207M-4445-0C925188E9A2D7AA8EA7282519B37B59EE993F1574CAE654013B01959382EF81D,Android DefaultWidevineL3Phone Android Phone,2021-01-03T19:34:59.745Z,2021-03-30T15:36:00.076Z,2021-01-03T19:34:59.745Z,2021-03-30T15:36:00.076Z,2021-01-03T19:34:59.745Z,2021-03-30T15:36:00.076Z,2021-01-03T19:34:59.745Z,2021-03-30T15:36:00.076Z,
Alan ,SONYKDLTAN0000000000000007221831,Sony Simple TV 2016 Tan Smart TV,,,,,,,,,
Alan ,NFCDCH-02-DDYJZHHRFHTJQDPTKX270AX0W51FRQ,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-GAA1DE04NG3FG8VGPDHY3K915L8CF6,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-XIAOMMI=8=LITE-8159-0F8575FE7F5819416F55AFACAEB86255E24D67DCF24C1E8AD6C56E47B3424F290,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,SSTV-NVT5-0000000000000022215973,Samsung 2015 NT14M DTV Smart TV,,,,,,,,,
Alan ,NFX360-01-141402355858,Microsoft Xbox 360,,,,,,,,,
Alan ,NFCDCH-02-ET0TKKWWLFT3L7EWL9166TU49VKCHY,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-XIAOMMI=8=LITE-7283-0F8575FE7F5819416F55AFACAEB86255E24D67DCF24C1E8AD6C56E47B3424F290,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-M320-4445-0EF0A5C17E39B53BFC442822637DDFF27C95513B30B3FDE5AA390C7BB0EF28F89,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,NFCDCH-02-FRDRVT04WWEMV94RXW6AD1LREAQJ9M,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDCH-02-E4Z2LWNPP2822U7VC36HR1FA5PCV49,Chrome PC (Cadmium),,,,,,,,,
Alan ,NFCDFF-02-EX8LEF2U16H9WR89L3W4WK2543JFMY,Firefox PC (Cadmium),,,,,,,,,
Alan ,NFCDFF-02-EWJ0U0120UG7ERNJYMDHVP6F8TGLGD,Firefox PC (Cadmium),,,,,,,,,
Alan ,NFCDFF-02-EWJ0G31YJGXXTL6FGCLLXNVC8UFWXH,Firefox PC (Cadmium),,,,,,,,,
Alan ,NFANDROID1-PRV-P-L3-LGE==LG-K430-4445-0B649A77FF05ECD52B9E3AE980E3E192610D416102D16D995C55EB3D6B6B7F571,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Alan ,NFCDCH-02-EN9XU2WWRADUQGUHC1M6E14C17F6DU,Chrome PC (Cadmium),,,,,,,,,
