Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-05-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-05-30,2022-05-30,2022-06-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.42,39.9,SALE,NEW,SETTLED,BR,2022-06-30
2022-04-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-04-30,2022-04-30,2022-05-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-05-30
2022-04-30,2022-04-30,2022-05-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-05-30
2022-04-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-03-30,2022-03-30,2022-04-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-04-30
2022-03-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-03-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-03-30,2022-03-30,2022-04-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-04-30
2022-02-28,2022-02-28,2022-03-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-03-30
2022-02-28,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-02-28,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-02-28,2022-02-28,2022-03-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-03-30
2022-01-30,2022-01-30,2022-02-27,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-02-28
2022-01-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2022-01-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2022-01-30,2022-01-30,2022-02-27,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-02-28
2021-12-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-12-30,2021-12-30,2022-01-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2022-01-30
2021-12-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-12-30,2021-12-30,2022-01-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2022-01-30
2021-11-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-11-30,2021-11-30,2021-12-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-12-30
2021-11-30,2021-11-30,2021-12-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-12-30
2021-11-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-10-30,2021-10-30,2021-11-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-11-30
2021-10-30,2021-10-30,2021-11-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-11-30
2021-10-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-10-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-09-30,2021-09-30,2021-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,DECLINED,RECOVERY,BR,2021-10-30
2021-09-30,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-09-30,2021-09-30,2021-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,RECOVERY,BR,2021-10-30
2021-09-30,2021-09-30,2021-10-29,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,RECOVERY,BR,2021-10-30
2021-09-28,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2021-09-28,2021-09-27,2021-10-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,REVERSAL,BR,2021-10-27
2021-09-28,2021-09-27,2021-10-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,DECLINED,REVERSAL,BR,2021-10-27
2021-09-28,2021-09-27,2021-10-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,REVERSAL,BR,2021-10-27
2021-09-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,DECLINED,,BR,
2021-09-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-08-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,APPROVED,,BR,
2021-08-27,,,payment_transaction,CC,9641,,,,BRL,,39.9,SALE,NEW,,BR,
2021-08-27,2021-08-27,2021-09-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,NEW,SETTLED,BR,2021-09-27
2021-08-27,2021-08-27,2021-09-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,39.9,BRL,4.49,39.9,SALE,APPROVED,SETTLED,BR,2021-09-27
2021-07-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-07-27,2021-07-27,2021-08-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-08-27
2021-07-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,NEW,,BR,
2021-07-27,2021-07-27,2021-08-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-08-27
2021-06-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,NEW,,BR,
2021-06-27,2021-06-27,2021-07-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-07-27
2021-06-27,2021-06-27,2021-07-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-07-27
2021-06-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-05-27,2021-05-27,2021-06-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-06-27
2021-05-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-05-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,NEW,,BR,
2021-05-27,2021-05-27,2021-06-26,SUBSCRIPTION,MASTERCARD,9641,,ADYEN,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-06-27
2021-04-30,2021-04-27,2021-05-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,DECLINED,RECOVERY,BR,2021-05-27
2021-04-30,2021-04-27,2021-05-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,RECOVERY,BR,2021-05-27
2021-04-30,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-04-28,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,DECLINED,,BR,
2021-04-27,2021-04-27,2021-05-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,DECLINED,REVERSAL,BR,2021-05-27
2021-04-27,,,payment_transaction,CC,9641,,,,BRL,,32.9,SALE,DECLINED,,BR,
2021-04-27,2021-04-27,2021-05-26,SUBSCRIPTION,MASTERCARD,9641,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,REVERSAL,BR,2021-05-27
2021-03-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-03-27,2021-03-27,2021-04-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-04-27
2021-02-27,2021-02-27,2021-03-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-03-27
2021-02-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-01-27,2021-01-27,2021-02-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-02-27
2021-01-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-12-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-12-27,2020-12-27,2021-01-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-01-27
2020-11-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-11-27,2020-11-27,2020-12-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-12-27
2020-10-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-10-27,2020-10-27,2020-11-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,DECLINED,SETTLED,BR,2020-11-27
2020-10-27,2020-10-27,2020-11-26,SUBSCRIPTION,MASTERCARD,1222,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-11-27
2020-10-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,DECLINED,,BR,
2020-09-27,2020-09-27,2020-10-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-10-27
2020-09-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-08-27,,,payment_transaction,CC,1222,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-08-27,2020-08-27,2020-09-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-09-27
2020-07-27,2020-07-27,2020-08-26,SUBSCRIPTION,MASTERCARD,1222,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2020-08-27
